# Omega_m, Omega_b, h, n_s, sigma_8
1.166399072855711094e-01 3.931005321443081096e-02 7.154928140342236009e-01 8.286973323673010317e-01 7.991443045437336412e-01
1.670866809785366280e-01 6.808967936784030006e-02 8.590146530419588977e-01 8.699886746704579288e-01 7.000077467411756071e-01
4.640676371753216234e-01 3.215882632881402609e-02 5.542297147214412245e-01 1.079120787605643228e+00 9.368429332971572876e-01
3.444923475384712441e-01 5.879402235150337636e-02 7.936002507805823836e-01 9.883423361927270445e-01 8.282345388084649818e-01
2.493533238768577687e-01 4.099549353122711182e-02 6.946746345609426943e-01 1.160765592753887132e+00 6.086238421499728934e-01
2.004769343882799315e-01 6.296569168567658914e-02 7.669071521610022479e-01 1.073143938928842633e+00 8.989943839609622067e-01
3.056734133511781470e-01 3.702017143368720870e-02 6.713019296526908652e-01 8.760143455117941347e-01 6.637581143528222816e-01
4.856994416564702766e-01 5.397765252739191583e-02 8.827244691550731881e-01 1.191498297825455577e+00 7.707735985517502053e-01
1.831501778215169907e-01 4.615469086915254676e-02 5.804785091429949251e-01 9.576584652066231218e-01 9.919835966080426948e-01
1.335838355123996901e-01 5.737330995500088127e-02 6.495070241391658339e-01 9.413206044584512266e-01 9.088630385696887526e-01
4.352648742496967316e-01 4.268023081123829138e-02 7.388622749596833739e-01 1.106397254765033811e+00 7.284729603677988496e-01
3.561079770326615046e-01 6.574123259633779526e-02 5.024214264005422148e-01 8.221741713583470279e-01 6.370889723300933172e-01
2.500432729721069336e-01 3.416582923382520398e-02 8.109173551201820374e-01 1.025542157515883401e+00 8.002545367926359177e-01
2.619556896388530731e-01 5.585177361965179554e-02 7.055654913187027200e-01 1.151694827899336859e+00 7.179708797484636307e-01
3.566985569894314256e-01 4.428020432591438238e-02 6.078114341944456100e-01 9.991972364485264269e-01 9.438798211514949354e-01
4.268557295203209145e-01 6.734225008636712806e-02 8.463644806295633760e-01 1.083333535492420285e+00 8.399471249431371689e-01
1.294900611042976435e-01 3.264323938637971739e-02 5.419697202742099762e-01 8.675570074468851312e-01 6.219113245606422424e-01
1.790440980345010813e-01 6.386297427117824943e-02 6.858578655868768914e-01 8.338607504963875261e-01 6.772917497903108153e-01
4.773024056106806023e-01 3.604384608566760934e-02 7.773618943989277774e-01 1.018374091759324029e+00 8.607568435370922533e-01
3.062518786638975254e-01 5.300238128751516564e-02 5.637783288955688921e-01 9.029986675828695075e-01 9.553210373967886415e-01
2.124016504734754784e-01 4.705092888325453082e-02 8.744231205433607990e-01 1.149234644323587462e+00 7.827320143580436262e-01
2.378405220806598663e-01 6.898789625614881738e-02 5.904546570032834785e-01 1.037003521621227220e+00 9.221497401595115662e-01
3.435083068907260895e-01 3.118339773267507498e-02 8.977790266275406106e-01 8.152801427990198357e-01 7.401862915605306181e-01
4.728580832481384943e-01 5.781968541443348319e-02 6.621556676924228446e-01 1.106142326816916377e+00 6.441266529262065221e-01
1.707930952310562356e-01 4.189262829720974413e-02 7.511207405477762222e-01 9.461398191750050035e-01 8.182169366627931595e-01
1.203586269170045936e-01 5.067342747002839820e-02 8.196852929890156014e-01 9.547895636409521325e-01 8.825813487172127214e-01
4.232918400317430274e-01 4.911648724228143831e-02 5.186109516769648042e-01 1.196053678542375653e+00 6.551711227744817512e-01
3.930745538324117438e-01 6.246175482869148476e-02 7.292648296803235786e-01 8.864275738596916199e-01 7.606114946305752023e-01
2.882749941200017929e-01 3.778713881969451849e-02 6.340497255325316939e-01 1.064414134994149164e+00 9.771456260234117064e-01
2.825417280197143333e-01 6.016274511814118098e-02 8.797002110630274263e-01 9.194783639162779076e-01 6.040375240147113356e-01
3.863040715456008689e-01 3.986175611615180858e-02 5.819465585052967516e-01 1.128311213105916977e+00 8.328162733465432899e-01
4.035490043461322784e-01 5.164346072822809108e-02 7.705175340175629550e-01 8.378396540880204135e-01 9.258130192756652832e-01
1.026051558554172544e-01 4.821503031998872896e-02 6.661231320351361784e-01 1.009951441362500146e+00 7.110361289232969284e-01
1.529535111039876938e-01 5.949231944978237985e-02 5.101516574621201006e-01 1.088728454709052995e+00 7.881019987165928109e-01
4.532000329345464706e-01 4.044377155601978219e-02 8.016553293913603051e-01 8.603550601750612481e-01 9.749495957046747652e-01
3.366530466824769752e-01 6.864148732274771847e-02 6.380660418421030267e-01 1.169590539857745082e+00 8.663213521242141280e-01
2.321933764964342339e-01 3.146061521023511831e-02 7.487104274332523346e-01 9.794945083558559418e-01 6.967226844280958176e-01
2.175947293639183266e-01 5.468561988323927814e-02 6.147086091339588609e-01 8.918721139430999534e-01 8.112844508141279221e-01
3.135563924908638112e-01 4.561267729848623304e-02 7.220325741916895357e-01 1.057260235026478812e+00 6.260605901479721069e-01
4.966088168323040675e-01 6.350763864815235638e-02 5.363912861794233322e-01 9.727333109825849755e-01 7.330592785030602965e-01
1.972400508821010590e-01 3.631213746964931377e-02 8.253560006618499978e-01 1.176400559395551770e+00 9.042813040316104445e-01
1.475768160074949487e-01 6.503324616700412175e-02 7.938778292387724811e-01 1.122572402283549264e+00 9.965819250792264938e-01
4.462726693600416183e-01 3.470786187797784972e-02 6.928038448095321655e-01 9.251683406531810983e-01 7.661798417568206343e-01
3.638925377279520479e-01 5.683134391903877508e-02 8.534634448587894440e-01 1.040934389829635709e+00 6.748004201799631119e-01
2.672579620033502801e-01 4.338828384876251137e-02 5.582487467676401360e-01 8.068078834563494617e-01 8.879535980522632599e-01
2.644650455564260261e-01 5.272118289023637605e-02 8.658223770558834964e-01 1.062214967980980918e+00 9.487601637840270552e-01
3.666892971843481730e-01 4.742021266371011790e-02 5.708029855042695555e-01 8.901892527937889099e-01 7.134872864931821601e-01
4.497507322579622491e-01 6.420189842581749962e-02 7.812733765691519672e-01 1.180577064305543988e+00 6.205347783863544020e-01
1.440949637442827391e-01 3.577348679304123008e-02 6.803947106003761514e-01 9.718286659568547980e-01 8.417081657797098604e-01
1.944440782070160079e-01 6.697323273867369919e-02 5.490081038326024565e-01 9.303671844303608163e-01 8.590087443590164185e-01
4.994025200605393122e-01 3.292470421642065131e-02 8.377774760127068010e-01 1.120352449640631631e+00 6.786553006619214790e-01
3.170375056564808114e-01 5.612240053713321575e-02 6.023376040160656197e-01 8.112285587936640674e-01 7.872270740568637626e-01
2.141159273684024866e-01 4.394154779613018008e-02 7.094662863761186378e-01 1.039492617547512099e+00 9.504292700439691544e-01
2.356500755995512009e-01 6.212657444179058713e-02 6.254613984376191649e-01 1.127211258560419038e+00 7.415620718151331170e-01
3.331986587494611962e-01 3.805361248552799336e-02 7.363011024892329726e-01 9.234595652669668198e-01 9.203894592821597609e-01
4.504284743219614251e-01 5.094859328120947273e-02 5.225103989243506941e-01 1.008073258772492320e+00 8.133373539894819260e-01
1.557228002697229607e-01 4.875307273119688228e-02 8.142093773931264877e-01 8.425990715622901917e-01 6.486094802618026511e-01
1.060588046908378657e-01 5.755294531583786399e-02 7.581463381648063660e-01 8.591085914522409439e-01 6.506752971559762733e-01
4.000915661454200745e-01 4.222754225134849743e-02 6.535566534847021547e-01 1.093344439566135362e+00 8.874738760292529838e-01
3.835355691611767037e-01 6.935104314237833245e-02 8.923168379813433138e-01 9.774698711931705253e-01 9.788944851607084274e-01
2.853140734136104806e-01 3.090796429663896644e-02 5.943678431212902069e-01 1.174984705075621694e+00 7.592471778392791970e-01
2.909454587846994622e-01 6.829303104430436977e-02 7.416845824569463508e-01 8.167218942195177966e-01 8.345765795558690581e-01
3.904002461582422034e-01 3.172144237905740599e-02 6.466648325324058089e-01 1.032582867145538374e+00 6.026617661118507385e-01
4.197409164160490480e-01 5.978350743651390797e-02 8.071172945201396942e-01 9.483597986400127411e-01 7.065532762557268365e-01
1.239133398979902351e-01 4.008447736501694059e-02 5.062382239848375320e-01 1.100943456217646554e+00 9.306925795972347260e-01
1.734666161239147297e-01 5.138297628611326884e-02 6.747112356126307997e-01 1.196958350390195935e+00 9.700570460408926010e-01
4.701868318021297233e-01 4.856382932513952921e-02 7.634810138493777210e-01 9.506130319088696989e-01 7.925977990031242149e-01
3.399543330073356850e-01 6.052238322794437769e-02 5.780468638986349106e-01 1.066096975281834558e+00 6.980870235711336136e-01
2.413921847939491383e-01 3.957091204822063557e-02 8.851759031414985213e-01 8.814728617668151633e-01 8.645725183188914809e-01
2.088232625275850407e-01 5.654602639377117462e-02 5.512105211615562217e-01 9.938030503690242767e-01 6.305442087352275404e-01
3.098279554396867752e-01 4.374154664576053453e-02 8.620505835860967636e-01 1.153719485923647925e+00 8.064041305333375931e-01
4.800003405660391298e-01 6.537781562656164169e-02 6.982778090983629005e-01 8.629410494118929797e-01 9.025202378630637901e-01
1.763484325259924157e-01 3.445077728480100410e-02 7.899771921336651292e-01 1.084579977393150374e+00 7.344358023256063461e-01
1.259147234261036030e-01 6.315403312444686779e-02 8.339568782597780450e-01 1.013614701107144356e+00 7.648162685334682909e-01
4.304348565638065338e-01 3.659711226820945573e-02 5.293667875230312347e-01 8.357389062643051370e-01 9.983299989253282547e-01
3.593934357166290727e-01 5.494236055761576171e-02 7.181212499737739119e-01 1.145253422111272901e+00 8.928453877568245378e-01
2.592569679021835549e-01 4.526776392012835104e-02 6.201718982309103456e-01 9.040986429899930954e-01 6.703053858131170495e-01
2.535976313054562059e-01 6.475369684398174508e-02 5.150122653692961183e-01 8.809751521795988749e-01 9.614698592573404090e-01
3.525559358298778756e-01 3.507526613771915630e-02 8.233129233121871948e-01 1.071454992145299823e+00 7.761849530041218248e-01
4.325909748673438804e-01 5.341947045177221354e-02 6.370612837374209914e-01 9.618288964033127053e-01 6.832492422312498315e-01
1.362554714083671625e-01 4.686848115175962226e-02 7.262211803346871886e-01 1.190599738433957056e+00 8.544102191925049272e-01
1.867014799267053826e-01 5.557062119245529536e-02 8.951581545174122079e-01 1.111602231860160828e+00 8.462897155433892760e-01
4.821443442255258782e-01 4.463974937796592879e-02 5.931075248867273553e-01 9.390945304185152054e-01 6.159486569464206474e-01
3.030025642365217209e-01 6.627496425062417984e-02 7.543286483734845671e-01 1.029956699535250708e+00 7.245158653706311735e-01
2.031516205519438012e-01 3.347641665488481494e-02 6.589187204837798628e-01 8.207385204732418060e-01 9.377300649881362693e-01
2.466580606997013092e-01 5.040663678199053255e-02 7.811543196439743042e-01 9.084594249725341797e-01 7.546532362699508445e-01
3.471914477646350639e-01 4.946113530546426829e-02 6.820333492010831611e-01 1.142188491299748421e+00 9.834930103272199187e-01
4.676433533430099931e-01 6.141859754920006575e-02 8.716053012758493423e-01 8.268130760639906818e-01 8.764332868158817291e-01
1.635071694850921686e-01 3.859565466642379816e-02 5.666250921785831451e-01 1.023833333700895354e+00 6.617174182087183221e-01
1.139415938407182805e-01 6.989298056811094062e-02 6.102384719997644424e-01 1.077880452200770334e+00 6.375809013843536377e-01
4.172095526009798050e-01 3.019992079585790551e-02 7.031094141304492506e-01 8.745985381305217965e-01 8.243674527853727119e-01
3.976252522319555505e-01 5.826090313494206030e-02 5.385679781436920610e-01 1.158734822273254306e+00 9.158079095184803453e-01
2.962236400693655236e-01 4.168551914393901769e-02 8.497982185333967653e-01 9.937426228076219337e-01 7.461481932550668716e-01
2.769049972295761219e-01 5.907553546130657474e-02 6.891986973583698051e-01 1.047949313744902522e+00 8.722832582890986952e-01
3.794414818286896418e-01 4.062652446329594047e-02 7.974997136741877046e-01 8.013295270502567291e-01 6.903808552771806273e-01
4.120042420923709647e-01 6.775106992572546560e-02 5.612660031765699387e-01 1.117095567286014557e+00 7.942525163292885049e-01
1.066492624580860221e-01 3.242950033396482107e-02 8.504263043403625932e-01 9.321847800165414810e-01 9.684038486331700835e-01
1.563009586185216959e-01 6.123033612966537892e-02 7.194060038775205168e-01 9.657109037041664568e-01 9.323593191802501678e-01
4.623532649129629135e-01 3.902888402342796770e-02 6.173549681901931985e-01 1.181883347406983198e+00 7.048880685120820777e-01
3.290924627333879915e-01 5.192491833120584793e-02 8.285703696310520172e-01 8.973564382642508219e-01 6.103849098086356895e-01
2.272533047944307327e-01 4.785579044371843227e-02 5.331600848585367203e-01 1.050239358097314835e+00 8.268580194562673569e-01
2.229066386818885914e-01 6.607609827071428410e-02 8.054542157799005064e-01 1.162567280232906342e+00 6.686506684869527595e-01
3.207438036799430958e-01 3.389904085546732032e-02 5.063328869640827401e-01 9.849781606346368346e-01 8.944985851645469443e-01
4.878897927701473236e-01 5.709782943129539795e-02 7.458869099617004839e-01 1.094213631376624196e+00 9.906192589551210403e-01
1.934597305953502655e-01 4.304333060979843167e-02 6.409062962979078515e-01 8.533333189785481387e-01 7.725224368274211662e-01
1.431229155510664042e-01 5.424409698694944437e-02 5.843792945146560891e-01 8.448552396148443222e-01 7.267126586288213952e-01
4.382258903235197733e-01 4.581948127597570974e-02 8.772506427019834963e-01 1.004472411423921629e+00 9.102387979626656023e-01
3.704077038913965447e-01 6.260224916040897647e-02 6.627149287611245887e-01 9.140008673071861045e-01 8.047373909503221512e-01
2.732434514909982681e-01 3.729530923068523351e-02 7.739455260336398634e-01 1.135328326001763255e+00 6.322094164788722992e-01
2.730327289551496284e-01 5.431978628039360601e-02 6.805138360708952172e-01 1.173333330824971155e+00 6.536959327757357885e-01
3.708130490034818871e-01 4.589030653238296287e-02 7.827600926160812600e-01 9.758253395557403564e-01 8.840368006378411803e-01
4.377652559429406898e-01 6.252657074481249300e-02 5.713188625872135384e-01 1.091687708348035857e+00 9.754714041948318037e-01
1.433889750391245110e-01 3.722453240305185346e-02 8.669245485216379166e-01 8.574694316834211572e-01 7.622566323727368864e-01
1.930536881089210677e-01 6.600531257688999065e-02 7.109026260673999564e-01 8.411193422973156641e-01 7.385416276752948539e-01
4.880998298525810464e-01 3.382339172065258054e-02 6.024063978344201820e-01 1.006598893925547689e+00 9.238263431936502013e-01
3.204784773290157429e-01 5.716864477843046355e-02 8.388293188065290007e-01 9.219729859381914361e-01 8.167610049247742143e-01
2.233680181205272841e-01 4.311904814094305594e-02 5.494736015796661821e-01 1.125743728876113847e+00 6.455994557589291860e-01
2.268353905528783798e-01 6.114488270133734693e-02 8.155070751905442172e-01 1.038024350255727812e+00 8.624073158949613349e-01
3.293158050626516786e-01 3.894829403609037510e-02 5.228311311453580634e-01 8.097427200525999513e-01 6.756213366985320823e-01
4.620753962546587656e-01 5.201036386191845717e-02 7.372020486742257850e-01 1.118878822401165873e+00 7.841821197420358880e-01
1.567734468728304020e-01 4.793633379042148979e-02 6.261666752398014069e-01 9.288867145776749101e-01 9.538420267403125985e-01
1.064266651868820274e-01 5.915608767420053871e-02 5.946382436901330726e-01 9.701902437955141068e-01 9.453610222786664741e-01
4.124228894710540994e-01 4.071194071322679908e-02 8.935641594231129581e-01 1.178919592499732882e+00 7.165218204259872214e-01
3.789683081209659354e-01 6.767048984766006747e-02 6.542115509510040283e-01 8.885439835488796456e-01 6.235795412212610245e-01
2.771821685135364977e-01 3.234401866793632646e-02 7.589969556778669579e-01 1.060564334318041757e+00 8.382956005632877794e-01
2.965384561568498722e-01 6.997842356562614108e-02 5.047527201473712699e-01 9.055424962192774041e-01 7.676289070397614989e-01
3.971157182008028252e-01 3.028046160936355424e-02 8.069985721260308775e-01 1.146714846789836928e+00 9.951007299125194105e-01
4.177614059299230576e-01 5.817544717341661953e-02 6.455638270825148073e-01 8.371881194412709171e-01 8.896051283925772157e-01
1.135844107717275675e-01 4.160492662340402326e-02 7.411691546440124512e-01 1.015070756897330284e+00 6.731322094798087852e-01
1.640173055231571309e-01 5.032605446875095673e-02 8.851045083254576173e-01 1.086242813616991043e+00 6.277309972792863846e-01
4.673291273415088876e-01 4.937565140426158905e-02 5.766086369752884133e-01 8.646229352802038415e-01 8.096339724957942741e-01
3.475479930639266968e-01 6.149914752691984510e-02 7.630128659307957584e-01 1.155389169231057167e+00 9.057603087276220322e-01
2.461055576801300104e-01 3.868106868118047909e-02 6.736575547605753167e-01 9.954780980944633040e-01 7.316091671586036904e-01
2.036729607731103953e-01 5.549494054168463419e-02 7.896568629890681201e-01 8.831486500799655692e-01 9.732729867100715637e-01
3.026758912950754388e-01 4.456897031515837104e-02 6.969813235104084237e-01 1.067765920981764705e+00 7.897466566413641198e-01
4.825140994042158571e-01 6.635065130889417073e-02 8.613457560539246050e-01 9.522941771894692931e-01 6.952498756349086984e-01
1.861370097845792826e-01 3.354723967611789731e-02 5.503107409924268278e-01 1.198621924221515478e+00 8.677772779017687288e-01
1.365814946591854262e-01 6.482450965791941577e-02 6.189226895570755227e-01 1.102398771420121104e+00 8.313608273863792864e-01
4.320689968764782618e-01 3.515098113566637178e-02 7.178482484072447045e-01 9.498097494244575056e-01 6.055127199739217536e-01
3.531209960579871909e-01 5.334868222475051824e-02 5.285143319517373595e-01 1.034045032411813780e+00 7.093909971415996996e-01
2.532284781336784363e-01 4.679282948374748063e-02 8.332993306219578233e-01 8.181650098413228989e-01 9.274872470647096412e-01
2.588940329849720445e-01 6.322486784309150343e-02 7.253702543675899506e-01 9.920736845582723840e-01 6.410060863941907661e-01
3.599525190889835136e-01 3.667281042784452383e-02 6.364052642136812654e-01 1.157059041410684497e+00 8.213589578866958840e-01
4.299311101436614768e-01 5.487159423530102442e-02 8.220652457326651508e-01 8.729349568486214350e-01 9.127859447151422945e-01
1.262223690748214833e-01 4.519209541380405509e-02 5.147407904267311540e-01 1.076199299469590143e+00 7.495835579931735548e-01
1.757901895791292302e-01 5.647036675363779901e-02 6.582123722881079164e-01 1.022383375465869992e+00 7.512286256998776945e-01
4.803641039878130403e-01 4.367075104266405355e-02 7.534273430705070718e-01 8.253577534109354241e-01 9.865009307861327681e-01
3.095195289701223595e-01 6.545352369546891813e-02 5.927856735885143058e-01 1.140745383128523915e+00 8.794554416090250015e-01
2.093262162059545684e-01 3.452158376574516324e-02 8.938601452857255492e-01 9.069972671568393707e-01 6.582818634808063063e-01
2.408213071525097115e-01 5.130237743258476979e-02 5.661584723740815672e-01 8.192771002650260925e-01 8.493359990417956862e-01
3.403291128575801627e-01 4.847836643457412859e-02 8.705531500279903856e-01 1.028512850776314824e+00 6.125376109033823235e-01
4.698666259646415710e-01 6.060291666537523381e-02 6.819634810090065002e-01 9.376384701579809633e-01 7.211151897907257524e-01
1.739829674363136403e-01 3.965634707361459510e-02 7.797176238149404748e-01 1.110153014212846845e+00 9.407630693167448044e-01
1.235377673059702003e-01 6.837845720350743672e-02 8.486956879496574402e-01 1.188917848095297769e+00 9.584233857691287772e-01
4.203110132366418839e-01 3.180200509727001273e-02 5.380510296672582626e-01 9.601660557091236115e-01 7.795961890369653702e-01
3.898847233504056931e-01 5.969803463667631982e-02 7.016223866492510286e-01 1.069779948890209109e+00 6.866493433713912742e-01
2.912665050476789252e-01 4.000390674918889722e-02 6.101182274520396964e-01 8.793054733425379466e-01 8.513777893036603706e-01
2.855728194117546082e-01 5.763347651809454242e-02 8.510827329009771347e-01 1.136814160272479057e+00 7.299542590975761636e-01
3.830805793404579163e-01 4.231297504156827927e-02 5.621181473135947737e-01 9.154691301286220773e-01 9.074136968702077866e-01
4.005041889846324699e-01 6.927044205367566265e-02 7.977716438472270966e-01 1.005952885746955960e+00 8.019226603209972382e-01
1.058423779904842377e-01 3.082249917089939159e-02 6.904475469142198341e-01 8.463288713246583939e-01 6.354377377778291924e-01
1.561768542975187357e-01 6.204109910875559020e-02 5.340595088899136034e-01 8.549907952547073364e-01 6.654088750481604864e-01
4.501688044518232790e-01 3.797303933650254815e-02 8.292741227895021883e-01 1.095852058008313090e+00 8.973238792270421538e-01
3.334159616380930058e-01 5.103401690721512396e-02 6.186511453241110292e-01 9.866287898272275703e-01 9.934334181249141471e-01
2.352383408695459532e-01 4.883363291621208024e-02 7.197252109646796736e-01 1.164212545007467181e+00 7.692946869879960792e-01
2.145834743976593184e-01 6.690246388316155313e-02 6.419596657156944053e-01 1.051883882284164518e+00 9.351985592395066771e-01
3.167661517858505471e-01 3.284903317689895352e-02 7.463539388030767663e-01 8.990078050643205421e-01 7.016842566430568917e-01
4.996307440102100150e-01 5.619323272258043567e-02 5.077707547694444434e-01 1.183522514626383693e+00 6.071676280349492805e-01
1.940196134150028451e-01 4.401724342256784633e-02 8.055245392024517059e-01 9.673676423728465590e-01 8.297074392437935320e-01
1.443672057241201512e-01 5.279688872396946786e-02 7.744598794728517754e-01 9.336591523140669313e-01 8.694445896893738812e-01
4.492840614169836266e-01 4.749101690948009935e-02 6.638155780732631905e-01 1.118575304001569792e+00 6.935840956866741180e-01
3.671128381043672340e-01 6.412623655050993243e-02 8.773682430386543496e-01 8.027970492839813232e-01 7.974699910730123076e-01
2.642358858138322830e-01 3.570268895477056448e-02 5.858644898980855942e-01 1.049435885623097420e+00 9.655542358756065147e-01
2.677128028124571291e-01 6.511380799114704909e-02 8.899606376886368686e-01 8.940046522766351700e-01 8.227228932082653046e-01
3.636336546391248925e-01 3.479328773915767864e-02 5.982615541666745917e-01 1.053518281877040774e+00 6.392576087266206297e-01
4.464892331510782464e-01 5.675077360123396281e-02 7.620156351476907730e-01 9.631426580250262992e-01 7.446921750903129356e-01
1.471643421798944640e-01 4.330281194299459568e-02 6.511760391294956207e-01 1.184378733858466148e+00 9.172806259244680183e-01
1.974995836615562605e-01 5.460015669465065336e-02 5.202029440551996231e-01 1.113425637036562055e+00 9.820177219808101654e-01
4.961546137928962708e-01 4.553207755088806152e-02 8.181519992649555206e-01 9.359283354133367538e-01 7.561085898429155128e-01
3.139682762324810250e-01 6.359307456761598143e-02 6.293796062469482200e-01 1.045064446702599570e+00 6.600432887673377547e-01
2.173775635659694894e-01 3.639267120510339404e-02 7.339692335575819238e-01 8.042880162596702798e-01 8.780785169452428596e-01
2.324648793786764367e-01 5.942152414470911609e-02 6.062067102640866789e-01 9.165206648409366386e-01 6.174297597259282844e-01
3.361856367439031712e-01 4.036811280995607210e-02 7.070854812860488670e-01 1.132784497365355580e+00 8.448405578732490762e-01
4.536243606358766334e-01 6.871229290962219127e-02 5.466517128050327745e-01 8.481585744768381785e-01 9.393983740359544976e-01
1.527251381427049692e-01 3.153632298111915672e-02 8.416709963232278380e-01 1.001145042479038239e+00 7.228644333779812303e-01
1.030719637870788630e-01 6.023844417184591460e-02 7.851913936436176744e-01 1.097147703543305486e+00 7.778355296701192634e-01
4.032769113779067771e-01 3.993259113281965450e-02 6.780626509338617547e-01 8.504240408539772700e-01 9.597995504736900330e-01
3.865330822765827845e-01 5.156779192388058486e-02 8.635147314518689665e-01 1.166286418586969464e+00 8.558602381497621980e-01
2.821180500090122445e-01 4.814426310360431921e-02 5.747454166412353516e-01 9.812838193029165268e-01 6.817701451480389085e-01
2.877159643918275611e-01 5.074423082172871413e-02 7.142511878162622896e-01 1.027021862939000219e+00 9.119091127067804337e-01
3.934375304728746636e-01 4.919219277799129902e-02 6.225517459213734117e-01 8.236485600471497026e-01 7.250620879232883009e-01
4.229841526597738488e-01 6.239095728844405025e-02 8.363123118877411333e-01 1.107883857935667127e+00 6.336885195225476775e-01
1.208623196929693305e-01 3.771147783845663071e-02 5.254723113030195236e-01 9.427881103008985963e-01 8.032873779535293357e-01
1.704293735325336512e-01 6.891222491860390931e-02 6.943588346242904885e-01 9.593098632991313712e-01 8.959477368742227998e-01
4.734163798391819444e-01 3.111262798309325991e-02 7.923082958906888518e-01 1.193142805621028035e+00 6.671695597469806671e-01
3.430052995681762695e-01 5.789538193494081497e-02 5.535172108560800774e-01 8.776710528880358186e-01 7.741738628596067651e-01
2.381489068269729836e-01 4.196346078068018126e-02 8.581071950495242628e-01 1.074783122539520352e+00 9.889509439468383567e-01
2.120268169790506529e-01 6.378240142017603531e-02 5.804024882614612357e-01 1.162403991073369891e+00 7.034327089786529541e-01
3.068227145820856538e-01 3.595837164670229180e-02 8.812816176563501580e-01 9.899998318403959718e-01 9.338346015661954658e-01
4.767860960215329902e-01 5.308294057846069808e-02 6.708413641899824142e-01 1.080766080692410425e+00 8.252127833664417711e-01
1.793643575161695536e-01 4.713635221123695096e-02 7.658610522747040239e-01 8.716392844915390459e-01 6.120590332895516905e-01
1.289199225604534260e-01 5.593720730394124985e-02 8.094241749495267868e-01 8.301656235009432505e-01 6.887041538953780906e-01
4.272312484681606293e-01 4.436073582619429190e-02 5.022950261831283791e-01 1.020553645491599992e+00 8.739278238266705578e-01
3.563775643706321716e-01 6.725678466260434640e-02 7.377657987177371757e-01 9.110269092023373094e-01 9.669311381876468658e-01
2.624712541699409929e-01 3.256263740360736819e-02 6.489961270242929903e-01 1.139693869277834892e+00 7.957085404545068963e-01
2.505526699125766865e-01 5.745872650295496403e-02 5.408747721463441627e-01 1.062756634876131923e+00 8.857974644750357118e-01
3.557930119335651620e-01 4.276078391820192781e-02 8.458551131188869476e-01 8.847891710698604362e-01 6.523197695612906744e-01
4.356222063302993552e-01 6.565575003623963513e-02 6.063197806477547136e-01 1.194403073191642850e+00 7.577741850167513116e-01
1.330321192741394098e-01 3.408524885773658863e-02 7.054406221956014411e-01 9.531442750245332496e-01 9.803506068885325941e-01
1.834642548114061578e-01 6.288510259240866207e-02 8.739610299468041354e-01 9.446540087461471336e-01 9.189341988414525542e-01
4.851891685277224253e-01 3.693471830338239392e-02 5.627307083457708803e-01 1.104674040153622583e+00 7.430370703339577165e-01
3.062260534614325014e-01 5.405819557607174225e-02 7.772843498736620171e-01 8.137996446341276835e-01 6.469641525298356344e-01
2.001205381006002648e-01 4.624013550579547660e-02 6.844134919345379320e-01 1.035529913753271192e+00 8.150117658078670502e-01
2.496801339089870508e-01 6.801402933895589475e-02 7.504097662866116014e-01 1.147760248184204190e+00 6.801045499742031097e-01
3.439711563289165608e-01 3.208804033696651542e-02 6.612497378140688165e-01 9.015189547091723155e-01 8.575273532420396583e-01
4.646319583058357017e-01 5.886974018067121783e-02 8.974647577852010727e-01 1.016906593367457479e+00 9.520806029438972917e-01
1.667167887091636769e-01 4.106630977243184988e-02 5.891642287373543008e-01 8.323741547763348070e-01 7.855590488761663437e-01
1.171620342880487498e-01 5.226607456803322033e-02 6.331911232322454675e-01 8.659125071018934916e-01 7.151578895747661146e-01
4.141876164823771189e-01 4.759252667427063543e-02 7.286011323332786116e-01 1.081682144850492522e+00 9.471095014363527520e-01
3.944154959172010422e-01 6.079024720937013793e-02 5.173678033053874525e-01 9.975580453872681108e-01 8.431869849562645403e-01
2.992348860949277656e-01 3.923437509685755165e-02 8.194183487445116931e-01 1.150038113072514578e+00 6.190848644822836144e-01
2.799804285168647766e-01 6.183917794376612292e-02 6.666328594088554160e-01 8.082578655332327555e-01 9.999806672334671243e-01
3.761738404631614907e-01 3.840967942029237941e-02 7.716135587543249130e-01 1.042389688640832812e+00 7.631456714123487917e-01
4.089425407350063546e-01 5.004596233367920172e-02 5.820717412978411165e-01 9.266114249825477822e-01 6.717553056776522924e-01
1.099031798541545979e-01 4.974390521645546265e-02 8.811929874122143014e-01 1.124034583941102117e+00 8.913665745407342023e-01
1.595686536282301116e-01 5.844718035310507431e-02 7.497561205178499000e-01 1.178069473803043277e+00 8.078855156898498979e-01
4.592778753489256127e-01 4.126524012535810748e-02 6.385253928601741791e-01 9.744091156870127168e-01 6.290949534624814543e-01
3.258385036140680757e-01 6.961051248013974679e-02 8.030977264046669228e-01 1.058923840150236995e+00 7.361038215458393097e-01
2.303149525076151061e-01 3.056089647114276775e-02 5.102265115827322450e-01 8.935532428324223231e-01 9.008688990026711974e-01
2.199151307344436868e-01 5.362487800419331319e-02 8.262630071491003925e-01 9.811764225363731606e-01 7.911227945238351600e-01
3.239336252212524636e-01 4.642830871045589697e-02 5.371026203036308733e-01 1.171253356710076243e+00 9.715123005211353524e-01
4.908706225454807504e-01 6.449035923928023162e-02 7.233241252601146920e-01 8.620300795882940292e-01 8.628981005400419013e-01
